Reference, Quantity, Value, Footprint, Datasheet, LCSC
C12 ,1,"100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","C178703"
C2 ,1,"100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","C132170"
C3 C4 ,2,"22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C24658"
C1 C5 C11 C13 ,4,"100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C49678"
C6 C7 ,2,"10uF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~","C694328"
C8 ,1,"100uF","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","C47859"
D2 ,1,"+5V","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
D3 ,1,"WORKING","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
D4 ,1,"RS485_ERROR","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~"
D5 ,1,"DFLS240L-7","Diode_SMD:D_PowerDI-123","~","C74179"
D6 ,1,"1N5817","Diode_SMD:D_SOD-123","http://www.vishay.com/docs/88525/1n5817.pdf","C727113"
J1 ,1,"Programming_Header","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","~","C11214"
J2 ,1,"PWR_OUT","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~","C8404"
J3 J4 ,2,"PWR_IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~","C8404"
J5 ,1,"Conn_Left","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~","C173752"
J6 ,1,"Conn_Right","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~","C173752"
JP1 ,1,"TERM_R","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical","~","C541856"
JP2 ,1,"TERM_R","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","C234182"
JP3 JP4 JP5 ,3,"CON","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","C234182"
L2 ,1,"56uH","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","~","C167496"
L3 ,1,"L_Small","Inductor_SMD:L_6.3x6.3_H3","~","C206230"
R1 ,1,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C25612"
R10 ,1,"0R3","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","C466812"
R3 R4 R6 ,3,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C25612"
R5 ,1,"120R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","C966144"
R7 R8 R9 ,3,"R_LED","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~"
SW1 ,1,"SW_SPST","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~"
SW2 ,1,"SW_DIP_x04","Button_Switch_SMD:SW_DIP_SPSTx04_Slide_6.7x11.72mm_W8.61mm_P2.54mm_LowProfile","~","C54950"
TP1 ,1,"TP_5V","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~"
U2 ,1,"MAX485E","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX1487E-MAX491E.pdf","C19738"
U3 ,1,"ATmega328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","C14877"
U4 ,1,"LM2594HVM-5.0","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2594.pdf","C179674"
U5 ,1,"AP8861","Package_TO_SOT_SMD:SOT-89-5_Handsoldering","https://datasheet.lcsc.com/lcsc/1806080223_Diodes-Incorporated-AP8801M8G-13_C211408.pdf","C507867"
Y1 ,1,"Crystal_Small","Crystal:Crystal_HC49-U_Vertical","~","C112572"